idAlumno;idAsignatura;nota
AL007;AS014;10
AL007;AS015;9.11
AL007;AS016;9.83
AL007;AS017;6.95
AL007;AS018;9.67
AL007;AS019;8.42
AL007;AS020;9.15
AL010;AS011;9.68
AL010;AS012;5.57
AL010;AS013;3.31
AL010;AS014;1.86
AL010;AS015;3.47
AL010;AS016;8.38
AL010;AS017;10
AL010;AS018;5.67
AL010;AS019;6.02
AL010;AS020;2.07
AL011;AS011;9.81
AL011;AS012;1.54
AL011;AS013;9.76
AL011;AS014;6.32
AL011;AS015;5.64
AL011;AS016;1.07
AL011;AS017;3.63
AL011;AS018;9.08
AL011;AS019;5.45
AL011;AS020;8.06
AL025;AS011;2.26
AL025;AS012;3.69
AL025;AS013;7.39
AL025;AS014;2.45
AL025;AS015;2.34
AL025;AS016;8.68
AL025;AS017;1.81
AL025;AS018;5.31
AL025;AS019;7.62
AL025;AS020;6.67
AL027;AS011;1.39
AL027;AS012;4.26
AL027;AS013;8.43
AL027;AS014;9.12
AL027;AS015;2.07
AL027;AS016;6.57
AL027;AS017;3.02
AL027;AS018;7.38
AL027;AS019;10
AL027;AS020;10
AL030;AS011;7.97
AL030;AS012;7.51
AL030;AS013;3.49
AL030;AS014;1.52
AL030;AS015;6.47
AL030;AS016;2.18
AL030;AS017;8.23
AL030;AS018;5.86
AL030;AS019;9.22
AL030;AS020;3.74
AL051;AS011;10
AL051;AS012;3.24
AL051;AS013;6.96
AL051;AS014;3.23
AL051;AS015;10
AL051;AS016;10
AL051;AS017;6.01
AL051;AS018;10
AL051;AS019;8.18
AL051;AS020;9.65
AL054;AS011;5.43
AL054;AS012;5.59
AL054;AS013;10
AL054;AS014;7.57
AL054;AS015;5.07
AL054;AS016;8.32
AL054;AS017;3.55
AL054;AS018;5.06
AL054;AS019;1.58
AL054;AS020;2.21
AL064;AS011;10
AL064;AS012;6.72
AL064;AS013;1.19
AL064;AS014;3.06
AL064;AS015;6.52
AL064;AS016;1.72
AL064;AS017;8.14
AL064;AS018;10
AL064;AS019;10
AL064;AS020;8.66
AL079;AS011;9.64
AL079;AS012;4.03
AL079;AS013;9.06
AL079;AS014;9.83
AL079;AS015;9.51
AL079;AS016;1.39
AL079;AS017;2.87
AL079;AS018;4.88
AL079;AS019;5.31
AL079;AS020;6.57
AL099;AS011;6.12
AL099;AS012;10
AL099;AS013;6.07
AL099;AS014;10
AL099;AS015;8.53
AL099;AS016;2.46
AL099;AS017;6.84
AL099;AS018;5.31
AL099;AS019;4.35
AL099;AS020;7.77
AL100;AS011;1.48
AL100;AS012;7.41
AL100;AS013;3.16
AL100;AS014;7.65
AL100;AS015;2.15
AL100;AS016;1.91
AL100;AS017;7.05
AL100;AS018;2.05
AL100;AS019;1.11
AL100;AS020;4.76
AL101;AS011;7.21
AL101;AS012;6.14
AL101;AS013;4.09
AL101;AS014;8.85
AL101;AS015;9.82
AL101;AS016;5.87
AL101;AS017;3.63
AL101;AS018;1.67
AL101;AS019;4.99
AL101;AS020;5.89
AL102;AS011;8.75
AL102;AS012;4.32
AL102;AS013;5.44
AL102;AS014;9.06
AL102;AS015;4.32
AL102;AS016;5.58
AL102;AS017;3.38
AL102;AS018;4.67
AL102;AS019;3.54
AL102;AS020;4.32
AL106;AS011;5.09
AL106;AS012;2.13
AL106;AS013;9.86
AL106;AS014;4.73
AL106;AS015;1.25
AL106;AS016;3.05
AL106;AS017;4.85
AL106;AS018;9.61
AL106;AS019;4.95
AL106;AS020;8.53
AL112;AS011;4.22
AL112;AS012;2.26
AL112;AS013;4.75
AL112;AS014;9.89
AL112;AS015;5.25
AL112;AS016;1.39
AL112;AS017;8.07
AL112;AS018;10
AL112;AS019;5.37
AL112;AS020;6.74
AL113;AS011;6.93
AL113;AS012;4.81
AL113;AS013;2.25
AL113;AS014;1.65
AL113;AS015;4.42
AL113;AS016;1.81
AL113;AS017;8.76
AL113;AS018;2.08
AL113;AS019;3.95
AL113;AS020;6.14
AL119;AS011;10
AL119;AS012;4.85
AL119;AS013;10
AL119;AS014;1.84
AL119;AS015;4.11
AL119;AS016;5.68
AL119;AS017;3.53
AL119;AS018;2.17
AL119;AS019;8.75
AL119;AS020;9.61
AL123;AS011;5.16
AL123;AS012;6.29
AL123;AS013;2.92
AL123;AS014;9.07
AL123;AS015;1.81
AL123;AS016;1.09
AL123;AS017;4.82
AL123;AS018;3.92
AL123;AS019;9.38
AL123;AS020;8.21
AL131;AS011;3.77
AL131;AS012;1.82
AL131;AS013;2.38
AL131;AS014;9.03
AL131;AS015;2.03
AL131;AS016;10
AL131;AS017;1.85
AL131;AS018;8.86
AL131;AS019;6.82
AL131;AS020;4.23
AL152;AS011;3.27
AL152;AS012;7.17
AL152;AS013;6.17
AL152;AS014;9.97
AL152;AS015;1.35
AL152;AS016;6.46
AL152;AS017;10
AL152;AS018;4.05
AL152;AS019;2.79
AL152;AS020;7.02
AL154;AS011;8.41
AL154;AS012;7.78
AL154;AS013;4.25
AL154;AS014;4.36
AL154;AS015;9.79
AL154;AS016;3.08
AL154;AS017;9.52
AL154;AS018;5.38
AL154;AS019;4.14
AL154;AS020;9.21
AL160;AS011;10
AL160;AS012;7.93
AL160;AS013;1.89
AL160;AS014;2.23
AL160;AS015;8.32
AL160;AS016;3.01
AL160;AS017;4.59
AL160;AS018;10
AL160;AS019;2.82
AL160;AS020;4.21
AL161;AS011;4.85
AL161;AS012;7.11
AL161;AS013;3.37
AL161;AS014;2.26
AL161;AS015;4.99
AL161;AS016;10
AL161;AS017;9.13
AL161;AS018;4.58
AL161;AS019;7.57
AL161;AS020;6.87
AL166;AS011;5.17
AL166;AS012;1.27
AL166;AS013;6.77
AL166;AS014;7.22
AL166;AS015;1.18
AL166;AS016;10
AL166;AS017;7.94
AL166;AS018;9.51
AL166;AS019;7.45
AL166;AS020;7.21
AL167;AS011;3.92
AL167;AS012;3.25
AL167;AS013;2.12
AL167;AS014;2.96
AL167;AS015;7.06
AL167;AS016;8.39
AL167;AS017;9.39
AL167;AS018;8.02
AL167;AS019;7.84
AL167;AS020;6.27
AL170;AS011;3.69
AL170;AS012;2.15
AL170;AS013;8.15
AL170;AS014;5.69
AL170;AS015;6.31
AL170;AS016;5.18
AL170;AS017;9.61
AL170;AS018;2.79
AL170;AS019;7.01
AL170;AS020;4.44
AL177;AS011;6.03
AL177;AS012;1.88
AL177;AS013;3.38
AL177;AS014;6.22
AL177;AS015;8.16
AL177;AS016;5.16
AL177;AS017;2.45
AL177;AS018;3.63
AL177;AS019;2.37
AL177;AS020;4.59
AL185;AS011;1.02
AL185;AS012;1.48
AL185;AS013;10
AL185;AS014;9.73
AL185;AS015;10
AL185;AS016;6.73
AL185;AS017;9.31
AL185;AS018;8.77
AL185;AS019;1.26
AL185;AS020;10
AL193;AS011;4.96
AL193;AS012;7.22
AL193;AS013;2.35
AL193;AS014;10
AL193;AS015;6.79
AL193;AS016;10
AL193;AS017;10
AL193;AS018;3.95
AL193;AS019;9.58
AL193;AS020;8.64
AL197;AS011;7.59
AL197;AS012;3.07
AL197;AS013;10
AL197;AS014;6.75
AL197;AS015;8.77
AL197;AS016;5.16
AL197;AS017;1.06
AL197;AS018;6.88
AL197;AS019;7.92
AL197;AS020;1.88
AL004;AS021;4.23
AL004;AS022;9.65
AL004;AS023;7.75
AL004;AS024;5.76
AL004;AS025;3.43
AL004;AS026;6.95
AL004;AS027;6.91
AL004;AS028;9.76
AL004;AS029;10
AL004;AS030;4.44
AL008;AS021;8.29
AL008;AS022;4.43
AL008;AS023;4.37
AL008;AS024;5.02
AL008;AS025;8.84
AL008;AS026;4.24
AL008;AS027;8.02
AL008;AS028;4.22
AL008;AS029;9.28
AL008;AS030;6.18
AL028;AS021;6.86
AL028;AS022;8.27
AL028;AS023;8.17
AL028;AS024;6.23
AL028;AS025;3.09
AL028;AS026;7.93
AL028;AS027;3.48
AL028;AS028;2.78
AL028;AS029;4.48
AL028;AS030;8.44
AL031;AS021;8.81
AL031;AS022;10
AL031;AS023;9.58
AL031;AS024;9.96
AL031;AS025;8.89
AL031;AS026;3.94
AL031;AS027;5.14
AL031;AS028;7.58
AL031;AS029;9.94
AL031;AS030;5.68
AL034;AS021;2.41
AL034;AS022;4.49
AL034;AS023;4.23
AL034;AS024;4.02
AL034;AS025;4.34
AL034;AS026;4.95
AL034;AS027;4.18
AL034;AS028;7.49
AL034;AS029;1.48
AL034;AS030;4.84
AL043;AS021;7.19
AL043;AS022;3.09
AL043;AS023;4.62
AL043;AS024;2.35
AL043;AS025;10
AL043;AS026;2.28
AL043;AS027;9.61
AL043;AS028;7.61
AL043;AS029;4.15
AL043;AS030;8.44
AL044;AS021;1.54
AL044;AS022;4.24
AL044;AS023;7.81
AL044;AS024;4.46
AL044;AS025;2.63
AL044;AS026;8.25
AL044;AS027;9.17
AL044;AS028;2.28
AL044;AS029;3.54
AL044;AS030;8.23
AL047;AS021;9.52
AL047;AS022;6.64
AL047;AS023;5.29
AL047;AS024;2.38
AL047;AS025;2.89
AL047;AS026;10
AL047;AS027;7.09
AL047;AS028;6.49
AL047;AS029;10
AL047;AS030;3.77
AL050;AS021;7.38
AL050;AS022;3.84
AL050;AS023;3.52
AL050;AS024;8.51
AL050;AS025;8.61
AL050;AS026;3.29
AL050;AS027;8.92
AL050;AS028;4.82
AL050;AS029;6.23
AL050;AS030;8.41
AL055;AS021;7.06
AL055;AS022;5.11
AL055;AS023;6.52
AL055;AS024;1.57
AL055;AS025;5.11
AL055;AS026;6.01
AL055;AS027;8.09
AL055;AS028;6.87
AL055;AS029;6.58
AL055;AS030;8.19
AL059;AS021;5.32
AL059;AS022;8.42
AL059;AS023;2.42
AL059;AS024;6.73
AL059;AS025;7.85
AL059;AS026;6.41
AL059;AS027;4.38
AL059;AS028;1.55
AL059;AS029;5.98
AL059;AS030;7.12
AL071;AS021;1.09
AL071;AS022;7.36
AL071;AS023;8.77
AL071;AS024;1.16
AL071;AS025;6.57
AL071;AS026;6.69
AL071;AS027;10
AL071;AS028;5.97
AL071;AS029;8.96
AL071;AS030;10
AL072;AS021;8.73
AL072;AS022;2.77
AL072;AS023;9.48
AL072;AS024;3.73
AL072;AS025;2.78
AL072;AS026;9.39
AL072;AS027;3.79
AL072;AS028;3.91
AL072;AS029;10
AL072;AS030;7.68
AL073;AS021;6.16
AL073;AS022;1.07
AL073;AS023;6.88
AL073;AS024;6.71
AL073;AS025;5.65
AL073;AS026;1.56
AL073;AS027;7.25
AL073;AS028;6.49
AL073;AS029;10
AL073;AS030;9.96
AL078;AS021;2.55
AL078;AS022;5.26
AL078;AS023;10
AL078;AS024;8.54
AL078;AS025;10
AL078;AS026;7.33
AL078;AS027;10
AL078;AS028;8.33
AL078;AS029;9.67
AL078;AS030;9.41
AL080;AS021;10
AL080;AS022;9.79
AL080;AS023;2.66
AL080;AS024;4.31
AL080;AS025;2.06
AL080;AS026;10
AL080;AS027;9.78
AL080;AS028;1.11
AL080;AS029;9.78
AL080;AS030;6.94
AL083;AS021;7.58
AL083;AS022;8.97
AL083;AS023;4.07
AL083;AS024;10
AL083;AS025;6.61
AL083;AS026;7.43
AL083;AS027;6.51
AL083;AS028;7.78
AL083;AS029;1.68
AL083;AS030;9.43
AL095;AS021;1.11
AL095;AS022;3.49
AL095;AS023;4.17
AL095;AS024;9.43
AL095;AS025;2.64
AL095;AS026;7.05
AL095;AS027;1.21
AL095;AS028;6.49
AL095;AS029;10
AL095;AS030;8.91
AL096;AS021;9.15
AL096;AS022;4.63
AL096;AS023;2.51
AL096;AS024;2.53
AL096;AS025;3.02
AL096;AS026;3.13
AL096;AS027;5.75
AL096;AS028;1.35
AL096;AS029;8.63
AL096;AS030;9.47
AL098;AS021;9.84
AL098;AS022;4.29
AL098;AS023;9.96
AL098;AS024;10
AL098;AS025;6.98
AL098;AS026;10
AL098;AS027;4.95
AL098;AS028;2.91
AL098;AS029;7.88
AL098;AS030;7.41
AL105;AS021;7.86
AL105;AS022;7.38
AL105;AS023;4.55
AL105;AS024;10
AL105;AS025;1.49
AL105;AS026;7.14
AL105;AS027;5.21
AL105;AS028;1.09
AL105;AS029;4.38
AL105;AS030;1.49
AL110;AS021;5.84
AL110;AS022;4.59
AL110;AS023;1.15
AL110;AS024;6.59
AL110;AS025;6.18
AL110;AS026;8.56
AL110;AS027;10
AL110;AS028;5.91
AL110;AS029;1.76
AL110;AS030;9.63
AL122;AS021;4.36
AL122;AS022;10
AL122;AS023;1.58
AL122;AS024;1.32
AL122;AS025;7.77
AL122;AS026;10
AL122;AS027;1.19
AL122;AS028;10
AL122;AS029;2.53
AL122;AS030;3.28
AL124;AS021;6.77
AL124;AS022;9.94
AL124;AS023;8.61
AL124;AS024;10
AL124;AS025;9.95
AL124;AS026;7.88
AL124;AS027;8.42
AL124;AS028;7.24
AL124;AS029;8.95
AL124;AS030;4.54
AL127;AS021;6.65
AL127;AS022;9.93
AL127;AS023;9.18
AL127;AS024;9.99
AL127;AS025;6.19
AL127;AS026;4.93
AL127;AS027;4.37
AL127;AS028;2.36
AL127;AS029;7.57
AL127;AS030;3.96
AL134;AS021;10
AL134;AS022;6.29
AL134;AS023;2.51
AL134;AS024;5.71
AL134;AS025;9.99
AL134;AS026;5.24
AL134;AS027;6.06
AL134;AS028;6.67
AL134;AS029;4.34
AL134;AS030;5.72
AL139;AS021;2.85
AL139;AS022;9.68
AL139;AS023;4.12
AL139;AS024;9.82
AL139;AS025;1.74
AL139;AS026;8.16
AL139;AS027;2.65
AL139;AS028;3.22
AL139;AS029;5.36
AL139;AS030;6.46
AL145;AS021;7.93
AL145;AS022;7.73
AL145;AS023;9.09
AL145;AS024;3.45
AL145;AS025;5.14
AL145;AS026;3.51
AL145;AS027;2.27
AL145;AS028;8.77
AL145;AS029;10
AL145;AS030;9.48
AL146;AS021;1.12
AL146;AS022;8.63
AL146;AS023;9.93
AL146;AS024;3.02
AL146;AS025;7.41
AL146;AS026;4.95
AL146;AS027;7.57
AL146;AS028;1.37
AL146;AS029;3.94
AL146;AS030;5.42
AL149;AS021;3.05
AL149;AS022;4.22
AL149;AS023;6.94
AL149;AS024;9.53
AL149;AS025;5.59
AL149;AS026;1.57
AL149;AS027;5.06
AL149;AS028;5.22
AL149;AS029;6.79
AL149;AS030;5.65
AL150;AS021;7.13
AL150;AS022;2.77
AL150;AS023;2.18
AL150;AS024;9.09
AL150;AS025;5.36
AL150;AS026;1.98
AL150;AS027;4.18
AL150;AS028;5.43
AL150;AS029;6.72
AL150;AS030;2.83
AL153;AS021;9.35
AL153;AS022;9.31
AL153;AS023;6.82
AL153;AS024;1.73
AL153;AS025;7.51
AL153;AS026;7.36
AL153;AS027;5.64
AL153;AS028;5.53
AL153;AS029;2.77
AL153;AS030;6.84
AL155;AS021;9.63
AL155;AS022;3.13
AL155;AS023;6.86
AL155;AS024;10
AL155;AS025;9.21
AL155;AS026;2.79
AL155;AS027;3.74
AL155;AS028;9.17
AL155;AS029;4.21
AL155;AS030;2.85
AL157;AS021;7.77
AL157;AS022;5.23
AL157;AS023;8.04
AL157;AS024;8.22
AL157;AS025;9.41
AL157;AS026;10
AL157;AS027;2.73
AL157;AS028;5.97
AL157;AS029;6.61
AL157;AS030;5.17
AL162;AS021;2.79
AL162;AS022;5.98
AL162;AS023;7.96
AL162;AS024;4.94
AL162;AS025;3.23
AL162;AS026;10
AL162;AS027;1.82
AL162;AS028;7.51
AL162;AS029;7.68
AL162;AS030;5.39
AL175;AS021;1.72
AL175;AS022;10
AL175;AS023;8.96
AL175;AS024;5.91
AL175;AS025;5.61
AL175;AS026;10
AL175;AS027;4.84
AL175;AS028;9.16
AL175;AS029;2.25
AL175;AS030;4.65
AL180;AS021;6.47
AL180;AS022;10
AL180;AS023;5.44
AL180;AS024;4.55
AL180;AS025;3.55
AL180;AS026;8.63
AL180;AS027;5.83
AL180;AS028;9.46
AL180;AS029;8.87
AL180;AS030;2.12
AL186;AS021;10
AL186;AS022;5.45
AL186;AS023;8.57
AL186;AS024;2.89
AL186;AS025;1.53
AL186;AS026;4.22
AL186;AS027;4.29
AL186;AS028;1.09
AL186;AS029;7.07
AL186;AS030;7.07
AL192;AS021;6.03
AL192;AS022;8.51
AL192;AS023;6.85
AL192;AS024;4.54
AL192;AS025;10
AL192;AS026;9.55
AL192;AS027;5.32
AL192;AS028;4.35
AL192;AS029;9.28
AL192;AS030;9.09
AL196;AS021;1.97
AL196;AS022;8.52
AL196;AS023;4.95
AL196;AS024;7.35
AL196;AS025;10
AL196;AS026;10
AL196;AS027;8.17
AL196;AS028;1.93
AL196;AS029;9.81
AL196;AS030;1.07
AL002;AS031;8.69
AL002;AS032;6.57
AL002;AS033;10
AL002;AS034;6.58
AL002;AS035;8.51
AL002;AS080;7.17
AL002;AS067;5.62
AL002;AS070;10
AL002;AS053;6.99
AL002;AS078;1.38
AL005;AS031;7.92
AL005;AS032;1.06
AL005;AS033;8.27
AL005;AS034;3.08
AL005;AS035;1.35
AL005;AS048;10
AL005;AS051;7.39
AL005;AS038;3.16
AL005;AS083;6.77
AL005;AS058;6.64
AL012;AS031;3.52
AL012;AS032;5.69
AL012;AS033;8.33
AL012;AS034;6.85
AL012;AS035;6.03
AL012;AS071;1.16
AL012;AS081;3.91
AL012;AS053;3.53
AL012;AS048;1.31
AL012;AS041;5.59
AL013;AS031;6.43
AL013;AS032;7.02
AL013;AS033;5.61
AL013;AS034;1.89
AL013;AS035;6.83
AL013;AS044;2.84
AL013;AS071;2.06
AL013;AS066;1.47
AL013;AS070;7.07
AL013;AS039;10
AL014;AS031;8.42
AL014;AS032;8.57
AL014;AS033;7.06
AL014;AS034;4.76
AL014;AS035;5.67
AL014;AS058;4.65
AL014;AS044;8.52
AL014;AS046;7.62
AL014;AS037;4.42
AL014;AS046;1.63
AL016;AS031;3.45
AL016;AS032;4.33
AL016;AS033;1.89
AL016;AS034;10
AL016;AS035;1.02
AL016;AS046;1.52
AL016;AS070;4.79
AL016;AS039;4.37
AL016;AS061;4.49
AL016;AS059;6.75
AL018;AS031;9.39
AL018;AS032;10
AL018;AS033;1.45
AL018;AS034;4.16
AL018;AS035;10
AL018;AS068;2.75
AL018;AS043;3.75
AL018;AS083;4.73
AL018;AS071;3.36
AL018;AS067;4.55
AL021;AS031;9.38
AL021;AS032;5.32
AL021;AS033;6.82
AL021;AS034;5.69
AL021;AS035;6.99
AL021;AS083;2.32
AL021;AS041;5.79
AL021;AS069;5.85
AL021;AS062;2.69
AL021;AS067;9.45
AL022;AS031;7.15
AL022;AS032;5.75
AL022;AS033;10
AL022;AS034;9.02
AL022;AS035;1.17
AL022;AS070;3.36
AL022;AS051;10
AL022;AS067;5.51
AL022;AS038;10
AL022;AS077;3.62
AL033;AS031;3.73
AL033;AS032;10
AL033;AS033;6.45
AL033;AS034;8.51
AL033;AS035;1.23
AL033;AS080;10
AL033;AS042;10
AL033;AS043;7.16
AL033;AS071;1.84
AL033;AS064;7.88
AL036;AS031;1.43
AL036;AS032;9.69
AL036;AS033;6.67
AL036;AS034;4.39
AL036;AS035;8.95
AL036;AS046;10
AL036;AS044;7.88
AL036;AS047;6.43
AL036;AS047;9.43
AL036;AS061;8.32
AL039;AS031;5.79
AL039;AS032;1.97
AL039;AS033;9.78
AL039;AS034;7.33
AL039;AS035;5.11
AL039;AS037;6.51
AL039;AS046;5.22
AL039;AS075;2.11
AL039;AS043;7.88
AL039;AS078;2.48
AL041;AS031;9.42
AL041;AS032;3.82
AL041;AS033;9.26
AL041;AS034;9.57
AL041;AS035;1.76
AL041;AS047;3.96
AL041;AS043;8.76
AL041;AS078;10
AL041;AS051;7.25
AL041;AS040;3.67
AL042;AS031;5.11
AL042;AS032;7.08
AL042;AS033;3.67
AL042;AS034;10
AL042;AS035;2.72
AL042;AS053;10
AL042;AS074;1.17
AL042;AS044;8.14
AL042;AS068;9.86
AL042;AS067;10
AL046;AS031;2.59
AL046;AS032;8.45
AL046;AS033;7.81
AL046;AS034;1.81
AL046;AS035;4.55
AL046;AS069;8.78
AL046;AS066;10
AL046;AS048;1.88
AL046;AS076;5.88
AL046;AS047;7.64
AL049;AS031;4.78
AL049;AS032;10
AL049;AS033;1.61
AL049;AS034;6.94
AL049;AS035;2.09
AL049;AS080;9.15
AL049;AS047;9.55
AL049;AS069;6.48
AL049;AS078;1.38
AL049;AS044;9.23
AL060;AS031;9.95
AL060;AS032;6.28
AL060;AS033;5.35
AL060;AS034;4.44
AL060;AS035;1.15
AL060;AS039;7.36
AL060;AS045;8.04
AL060;AS074;10
AL060;AS051;10
AL060;AS081;2.65
AL065;AS031;6.74
AL065;AS032;6.24
AL065;AS033;7.25
AL065;AS034;1.91
AL065;AS035;7.11
AL065;AS044;7.12
AL065;AS064;6.15
AL065;AS053;5.91
AL065;AS037;9.08
AL065;AS047;6.47
AL067;AS031;8.41
AL067;AS032;9.86
AL067;AS033;4.55
AL067;AS034;6.92
AL067;AS035;6.41
AL067;AS074;4.28
AL067;AS064;2.07
AL067;AS080;8.14
AL067;AS047;4.98
AL067;AS083;4.52
AL068;AS031;5.89
AL068;AS032;5.28
AL068;AS033;3.21
AL068;AS034;7.04
AL068;AS035;7.68
AL068;AS065;8.38
AL068;AS067;1.03
AL068;AS057;5.91
AL068;AS068;9.01
AL068;AS044;4.11
AL074;AS031;9.17
AL074;AS032;1.68
AL074;AS033;1.15
AL074;AS034;7.66
AL074;AS035;7.36
AL074;AS051;1.23
AL074;AS077;3.58
AL074;AS042;10
AL074;AS042;7.99
AL074;AS043;8.11
AL077;AS031;6.21
AL077;AS032;4.17
AL077;AS033;3.51
AL077;AS034;8.15
AL077;AS035;7.46
AL077;AS075;5.56
AL077;AS058;4.89
AL077;AS062;10
AL077;AS037;4.78
AL077;AS038;8.61
AL086;AS031;1.39
AL086;AS032;9.88
AL086;AS033;2.14
AL086;AS034;1.52
AL086;AS035;7.44
AL086;AS043;10
AL086;AS070;10
AL086;AS064;6.31
AL086;AS068;7.21
AL086;AS071;7.57
AL087;AS083;4.46
AL087;AS070;4.41
AL087;AS066;4.76
AL087;AS051;1.82
AL087;AS057;8.36
AL087;AS064;1.11
AL087;AS059;2.52
AL087;AS077;2.55
AL087;AS064;2.92
AL087;AS071;10
AL088;AS031;9.98
AL088;AS032;9.25
