curso;idAsignatura;nombre;cuatrimestre;creditos;caracter;coordinador
4;AS058;Gestión de datos en logística y cadenas de suministro;2;5;optativa;PR002
4;AS059;Inglés B2;1;5;optativa;PR030
4;AS060;Intercambio Académico I;1;3;optativa;PR031
4;AS061;Intercambio Académico II;1;3;optativa;PR031
4;AS062;Intercambio Académico III;2;3;optativa;PR031
4;AS063;Intercambio Académico IV;2;3;optativa;PR031
4;AS064;Intercambio Académico V;2;3;optativa;PR031
4;AS065;Intercambio Académico VI;1;5;optativa;PR031
4;AS066;Intercambio Académico VII;1;5;optativa;PR031
4;AS067;Intercambio Académico VIII;2;5;optativa;PR031
4;AS068;Intercambio Académico IX;2;5;optativa;PR031
4;AS069;Intercambio Académico X;1;6;optativa;PR031
4;AS070;Intercambio Académico XI;2;6;optativa;PR031
4;AS071;Italiano académico y profesional A1;1;5;optativa;PR029
4;AS072;Marketing;2;5;optativa;PR005
4;AS073;Modelos de programación para computación de datos;2;5;optativa;PR004
4;AS074;Procesamiento y análisis de biosecuencias;2;5;optativa;PR025
4;AS075;Programación para Internet de las Cosas ;;;;
4;AS076;Sistemas de información empresarial;2;5;optativa;PR005
4;AS077;Sistemas inteligentes de transporte;2;5;optativa;PR006
4;AS078;Técnicas de previsión;2;5;optativa;PR006
4;AS079;Tratamiento de datos geoespaciales;2;5;optativa;PR002
4;AS080;Tratamiento de la infromación en IoT;2;5;optativa;PR033
4;AS081;Visualización interactiva;2;5;optativa;PR015
4;AS082;Inglés C1;1;5;optativa;PR034
4;AS083;Inglés C2;2;5;optativa;PR034
5;AS084;Fundamentos de tratamiento de datos para Data Science;1;6;obligatoria;PR002
5;AS085;Modelos y aprendizaje estadístico;1;6;obligatoria;PR008
5;AS086;Aprendizaje automático aplicado ;;;;
5;AS087;Minería de texto y procesamiento del lenguaje natural ;;;;
5;AS088;Inteligencia de negocio y visualización;1;6;obligatoria;PR036
5;AS089;Infraestructura Big Data;2;6;obligatoria;PR036
5;AS090;Almacenamiento e integración de datos;2;6;obligatoria;PR022
5;AS091;Valor y contexto de la analítica big data;2;6;obligatoria;PR022
5;AS092;Aplicaciones analíticas. Casos Practicos;2;6;obligatoria;PR022
5;AS093;Trabajo Fin de Master;2;6;obligatoria;PR010
5;AS094;Curso de metodologías ágiles;2;6;optativa;PR010
6;AS095;Técnicas y metodología de la minería de datos ;;;;
6;AS096;Gestión y explotación de almacenes de datos;1;0;optativa;PR002
6;AS097;Redes neuronales y algoritmos genéticos;1;0;optativa;PR037
6;AS098;Gestión de relaciones con el cliente CRM;2;0;optativa;PR005
6;AS099;Inteligencia de negocio y cuadro de mando integral;2;0;optativa;PR005
6;AS100;Modelos de decisión en marketing;2;0;optativa;PR005
